title,popular_rank,orign_country,summary,rating
Boku no hîrô akademia,71,Japan,"In a world populated with superhumans, the superhero-loving Izuku Midoriya is without power. However, after the Quirkless dreamer Izuku inherits the powers of the world's best superhero, All Might, his hopes of becoming the top hero are now possible. Once enrolled in the high school for heroes, U.A., Izuku soon discovers being a hero is much more complicated than it appears. —Stevo R",8.5
Dark,72,Germany,"The first German production from the world's leading Internet TV Network is set in a German town in present day where the disappearance of two young children exposes the double lives and fractured relationships among four families. In ten hour-long episodes, the story takes on a surprising twist that ties back to the same town in 1986. —Wiedemann & Berg Television",8.8
Homeland,73,United States,"The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake. —ahmetkozan",8.3
Star Trek: The Next Generation,74,United States,"Set in the twenty-fourth century and seven to eight decades after the adventures of the original crew of the starship Enterprise, this new series is the long-awaited successor to Star Trek (1966). Under the command of Captain Jean-Luc Picard, the all new Enterprise NCC 1701-D travels out to distant planets to seek out new life and to boldly go where no one has gone before. —Harald Mayr <marvin@bike.augusta.de>",8.6
Heartland,75,Canada,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",8.4
Prison Break,76,United Kingdom,"An innocent man is framed for the homicide of the Vice President's brother and scheduled to be executed at a super-max penitentiary, thus it's up to his younger brother to save him with his genius scheme: install himself in the same prison by holding up a bank and, as the final month ticks away, launch the escape plan step-by-step to break the both of them out, with his full-body tattoo acting as his guide; a tattoo which hides the layout of the prison facility and necessary clues vital to the escape. —filipfilipovich@hotmail.com",8.3
Good Girls,77,United States,"The series follows three suburban Michigan mothers, two of whom are sisters, who are having a hard time trying to make ends meet. They are tired of having everything taken away from them so they decide to pull off an unlikely heist by robbing a supermarket, only to discover that they're in for more than they bargained. Their successful robbery attracts the attention of the store manager after he recognizes one of the women, but for a different reason altogether than just the money. —caitlindeyo",7.8
Mad Men,78,United States,"The professional and personal lives of those who work in advertising on Madison Avenue - self-coined ""mad men"" - in the 1960s are presented. The stories focus on those at one of the avenue's smaller firms, Sterling Cooper, and its various incarnations over the decade. At the heart of these stories is Donald Draper, the creative genius of the company. That professional creative brilliance belies the fact of a troubled childhood, one that he would rather forget and not let anyone know about except for a select few, but one that shaped who he is as an adult and as an ad man in the need not only to sell products but sell himself to the outside world. His outward confidence also masks many insecurities as evidenced through his many vices, such as excessive smoking, drinking and womanizing - the latter despite being a family man - and how he deals with the aftermath of some of the negative aspects of his life. —Huggo",8.6
BoJack Horseman,79,United States,"After starring in the popular sitcom ""Horsin' Around"" in the late 80s and early 90s, BoJack Horseman struggles with his deteriorating popularity, depression, addiction, and maintaining the relationships with those he cares about, but can't seem to stop hurting, all while living in the satirical, pun-filled city of Hollywood, California. —ectreece",8.7
Legends of Tomorrow,80,United States,"When heroes alone are not enough - the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat - one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known? —ahmetkozan",6.8
The Serpent,81,United Kingdom,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.",7.7
Seinfeld,82,United States,"Jerry Seinfeld stars in this television comedy series as himself, a comedian. The premise of this sitcom is Jerry and his friends going through everyday life, discussing various quirky situations, to which we can all relate (especially if we live in New York City). The eccentric personalities of the offbeat characters who make up Jerry's social circle contribute to the fun. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",8.8
